"TCP","EEBO","VID","STC","Status","Author","Date","Title","Terms","Pages"
"A42231","14443890","102345","Wing G2118; ESTC R34449","Free","Grotius, Hugo, 1583-1645.; Barksdale, Clement, 1609-1687.","1675","Hugo Grotius, Of the government and rites of the ancient church, conciliation of grace and free will, certainty and assurance of salvation, government of the highest powers in church affairs in a letter to the states embassador.","Christianity -- Philosophy.; Theology, Practical.",54
"A42234","13031638","96775","Wing G2120; ESTC R16252","Free","Grotius, Hugo, 1583-1645.; Barksdale, Clement, 1609-1687.","1655","The illustrious Hugo Grotius Of the law of warre and peace with annotations, III parts, and memorials of the author's life and death.; De jure belli et pacis. English","Grotius, Hugo, 1583-1645.",832
"A85746","99862603","114767","Wing G2117; Thomason E1244_1; ESTC R202244","Free","Grotius, Hugo, 1583-1645.; Barksdale, Clement, 1609-1687, translator.","1651","Of the authority of the highest powers about sacred things. Or, The right of the state in the Church. Wherein are contained many judicious discourses, pertinent to our times, and of speciall use for the order and peace of all Christian churches. / Put into English by C.B. M.A. The method of every chapter is added in the margent, and collected at the end.; De imperio summarum potestarum circa sacra. English.","Church and state -- Early works to 1800.; Authority -- Religious aspects -- Christianity -- Early works to 1800.",365
"A87137","99862692","114862","Wing H820; Thomason E929_7; ESTC R202382","Free","Harrington, James, 1611-1677.","1657","The prerogative of popular government. A politicall discourse in two books. The former containing the first præliminary of Oceana, inlarged, interpreted, and vindicated from all such mistakes or slanders as have been alledged against it under the notion of objections. The second concerning ordination, against Dr. H. Hamond, Dr. L. Seaman, and the authors they follow. In which two books is contained the whole commonwealth of the Hebrews, or of Israel, senate, people, and magistracy, both as it stood in the institution by Moses, and as it came to be formed after the captivity. As also the different policies introduced into the Church of Christ, during the time of the Apostles. By James Harrington.","Harrington, James, 1611-1677. -- Common-wealth of Oceana -- Early works to 1800.; Hammond, Henry, 1605-1660 -- Early works to 1800.; Seaman, Lazarus, d. 1675 -- Early works to 1800.; Political science -- Early works to 1800.; Ordination -- Early works to 1800.; Church and state -- Early works to 1800.",252
"A45613","12213232","56348","Wing H809; ESTC R18610","Free","Harrington, James, 1611-1677.","1656","The common-wealth of Oceana","Utopias.",308
"A43978","31355044","110315","Wing H2221; ESTC R41339","Free","Hobbes, Thomas, 1588-1679.","1652","De corpore politico, or, The elements of law, moral and politick with discourses upon severall heads, as of [brace] the law of nature, oathes and covenants, several kinds of government : with the changes and revolutions of them / by Tho. Hobbs of Malmsbury.","Natural law.; Political science -- Early works to 1800.; Oaths.",190
"A43998","12165813","55310","Wing H2246; ESTC R17253","Free","Hobbes, Thomas, 1588-1679.","1651","Leviathan, or, The matter, forme, and power of a common wealth, ecclesiasticall and civil by Thomas Hobbes ...; Leviathan","Political science -- Early works to 1800.; State, The.",412
"A48901","12961686","96077","Wing L2766; ESTC R2930","Free","Locke, John, 1632-1704.","1690","Two treatises of government in the former, the false principles and foundation of Sir Robert Filmer and his followers are detected and overthrown, the latter is an essay concerning the true original, extent, and end of civil government.; Two treatises of government","Filmer, Robert, -- Sir, d. 1653. -- Patriarcha.; Political science -- Early works to 1800.",478
"A48884","11845307","49822","Wing L2747; ESTC R14566","Free","Locke, John, 1632-1704.; Popple, William, d. 1708.","1689","A letter concerning toleration humbly submitted, etc.; Epistola de tolerantia. English","Toleration.; Freedom of religion -- England.",72
"A50274","12593881","63994","Wing M129; ESTC R13145","Free","Machiavelli, Niccolò, 1469-1527.; Neville, Henry, 1620-1694.","1680","The works of the famous Nicholas Machiavel, citizen and secretary of Florence written originally in Italian, and from thence newly and faithfully translated into English.; Works. English. 1680","Machiavelli, Niccolò, 1469-1527.; Political science -- Early works to 1800.; Political ethics -- Early works to 1800.; War.; Florence (Italy) -- History.",562
"A50883","99868859","121215","Wing M2092; ESTC R210022","Free","Milton, John, 1608-1674.","1644","Areopagitica; a speech of Mr. John Milton for the liberty of vnlicens'd printing, to the Parlament of England.","Freedom of the press -- Early works to 1800.",42
"A50893","12996889","96415","Wing M2104; ESTC R9447","Free","Milton, John, 1608-1674.; Washington, Joseph, d. 1694.","1692","A defence of the people of England by John Milton ; in answer to Salmasius's Defence of the king.; Pro populo Anglicano defensio. English","Saumaise, Claude, 1588-1653. -- Defensio regia pro Carolo I.; Charles -- I, -- King of England, 1600-1649.",278
"A45612","12165055","55278","Wing H808; ESTC R16594","Free","Harrington, James, 1611-1677.","1660","The Censure of the Rota upon Mr Miltons book, entituled, The ready and easie way to establish a free common-wealth die lunæ 26, Martij, 1660 / ordered by the Rota that M. Harrington be desired to draw up a narrative of this dayes proceeding upon Mr. Miltons book, called, The ready and easie way, &c., and to cause the same to be forthwith printed and pu[b]lished, and a copy thereof to be sent to Mr. Milton, Trundle Wheeler, Clerk to the Rota.","Milton, John, 1608-1674. -- Readie and easie way to establish a free commonwealth.; Political satire, English.",18
"A50898","12322155","59490","Wing M2113; ESTC R32096","Free","Milton, John, 1608-1674.","1650","Eikonoklestēs in answer to a book intitl'd Eikōn basilikē the portrature His Sacred Majesty in his solitudes and sufferings the author J.M.","Charles -- I, -- King of England, 1600-1649.; Eikon basilike.",248
"A50919","12156486","55152","Wing M2137; ESTC R13460","Free","Milton, John, 1608-1674.","1667","Paradise lost a poem written in ten books / by John Milton.","",344
"A50948","13442281","99567","Wing M2174; ESTC R33509","Free","Milton, John, 1608-1674.","1660","The readie and easie vvay to establish a free commonwealth and the excellence therof compar'd with the inconveniences and dangers of readmitting kingship in this nation / the author J.M.","State, The.; Great Britain -- Politics and government -- 1649-1660.; Great Britain -- History -- Commonwealth and Protectorate, 1649-1660.",110
"A50949","12578479","63661","Wing M2175; ESTC R3223","Free","Milton, John, 1608-1674.","1641","The reason of church-government urg'd against prelaty by Mr. John Milton ; in two books.","Episcopacy -- Early works to 1800.; Church and state -- England.; Great Britain -- History -- Charles I, 1625-1649.",68
"A56253","12680773","65650","Wing P4177; ESTC R20986","Free","Pufendorf, Samuel, Freiherr von, 1632-1694.; Crull, J. (Jodocus), d. 1713?","1695","An introduction to the history of the principal kingdoms and states of Europe by Samuel Puffendorf ... ; made English from the original.; Einleitung zur Geschichte der vornehmsten Staaten Europas. English","Europe -- History.",594
"A59474","13024286","96666","Wing S2896; ESTC R228447","Free","Shaftesbury, Anthony Ashley Cooper, Earl of, 1621-1683.","1675","A letter from a Parliament man to his friend, concerning the proceedings of the House of Commons this last sessions, begun the 13th of October, 1675","England and Wales. -- Parliament. -- House of Commons.; Great Britain -- Politics and government -- 1660-1688.",12
"A59475","12701444","65947","Wing S2897; ESTC R3320","Free","Shaftesbury, Anthony Ashley Cooper, Earl of, 1621-1683.; Locke, John, 1632-1704.","1675","A letter from a person of quality to his friend in the country","England and Wales. -- Parliament.; Church and state -- England.",37
"A30442","12309833","59345","Wing B59; ESTC R3091","Free","F. B.","1698","A free but modest censure on the late controversial writings and debates of the Lord Bishop of Worcester and Mr. Locke, Mr. Edwards and Mr. Locke, the Hon[ora]ble Charles Boyle, Esq., and Dr. Bently together with brief remarks on Monsieur Le Clerc's Ars critica / by F.B., M.A. of Cambridg.","Stillingfleet, Edward, 1635-1699.; Locke, John, 1632-1704.; Edwards, John, 1637-1716.; Orrery, Charles Boyle, -- Earl of, 1676-1731.; Bentley, Richard, 1662-1742.; Le Clerc, Jean, 1657-1736. -- Ars critica.; Religious thought -- 17th century.",32
"A61556","12443099","62146","Wing S5594; ESTC R19869","Free","Stillingfleet, Edward, 1635-1699.","1680","The grand question, concerning the Bishops right to vote in Parliament in cases capital stated and argued, from the Parliament-rolls, and the history of former times : with an enquiry into their peerage, and the three estates in Parliament.","England and Wales. -- Parliament -- Rules and practice.; Church of England -- Bishops -- Temporal power.",194
